Microsoft (R) COFF/PE Dumper Version 11.00.60610.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    580198C6 time date stamp Sat Oct 15 10:47:34 2016
        0.00 version
        1502 ordinal base
        1207 number of functions
         944 number of names

    ordinal hint RVA      name

       1975  1D2 0009DA00 GetWindowModuleFileName
       1976  1D3 0009DA00 GetWindowModuleFileNameA
       1977  1D4 00098D20 GetWindowModuleFileNameW
       1978  1D5 0002DE70 GetWindowPlacement
       1979  1D6 000096F0 GetWindowRect
       1980  1D7 00027810 GetWindowRgn
       1981  1D8 0002A250 GetWindowRgnBox
       1982  1D9 0002DE80 GetWindowRgnEx
       1983  1DA 0001B770 GetWindowTextA
       1984  1DB 0001B970 GetWindowTextLengthA
       1985  1DC 0001BA20 GetWindowTextLengthW
       1986  1DD 0001BAD0 GetWindowTextW
       1987  1DE 00017BD0 GetWindowThreadProcessId
       1988  1DF 00027E60 GetWindowWord
       1989  1E0 0002DE90 GhostWindowFromHungWindow
       1990  1E1 00096CD0 GrayStringA
       1991  1E2 00096D00 GrayStringW
       1992  1E3 000271D0 HideCaret
       1993  1E4 0002DEC0 HiliteMenuItem
       1994  1E5 0002DED0 HungWindowFromGhostWindow
       1995  1E6 000940A0 IMPGetIMEA
       1996  1E7 000940E0 IMPGetIMEW
       1997  1E8 00094120 IMPQueryIMEA
       1998  1E9 00094160 IMPQueryIMEW
       1999  1EA 000941A0 IMPSetIMEA
       2000  1EB 000941E0 IMPSetIMEW
       2003  1EC 0002DEE0 ImpersonateDdeClientWindow
       2004  1ED 0001A710 InSendMessage
       2006  1EE 00019860 InSendMessageEx
       2007  1EF 0002A9A0 InflateRect
       2008  1F0 0002DEF0 InheritWindowMonitor
       2009  1F1 00009F40 InitDManipHook
       2011  1F2 0002DF00 InitializeInputDeviceInjection
       2012  1F3 0001A9D0 InitializeLpkHooks
       2013  1F4 0002DF10 InitializePointerDeviceInjection
       2014  1F5 0002DF20 InitializeTouchInjection
       2015  1F6 0002DF30 InjectDeviceInput
       2016  1F7 0002DF40 InjectKeyboardInput
       2017  1F8 0002DF50 InjectMouseInput
       2018  1F9 0002DF60 InjectPointerInput
       2019  1FA 0002DF70 InjectTouchInput
       2020  1FB 0009DA50 InsertMenuA
       2021  1FC 0009DAA0 InsertMenuItemA
       2022  1FD 00022CA0 InsertMenuItemW
       2023  1FE 00098D70 InsertMenuW
       2024  1FF 0009C2F0 InternalGetWindowIcon
       2025  200 00028640 InternalGetWindowText
       2026  201 00020BA0 IntersectRect
       2027  202 0002DFA0 InvalidateRect
       2028  203 0002DFB0 InvalidateRgn
       2029  204 000A0700 InvertRect
       2030  205 00094D50 IsCharAlphaA
       2031  206 00094D70 IsCharAlphaNumericA
       2032  207 00094D90 IsCharAlphaNumericW
       2033  208 00028010 IsCharAlphaW
       2034  209 00094DB0 IsCharLowerA
       2035  20A 00094DD0 IsCharLowerW
       2036  20B 00094DF0 IsCharUpperA
       2037  20C 00094E10 IsCharUpperW
       2038  20D 00017880 IsChild
       2039  20E 00026890 IsClipboardFormatAvailable
       2040  20F 00065D00 IsDialogMessage
       2041  210 00065D00 IsDialogMessageA
       2042  211 0001C440 IsDialogMessageW
       2043  212 0001B740 IsDlgButtonChecked
       2044  213 0001AFF0 IsGUIThread
       2045  214 00091A50 IsHungAppWindow
       2046  215 0002A0A0 IsIconic
       2047  216 0001AF90 IsImmersiveProcess
       2048  217 00091A90 IsInDesktopWindowBand
       2049  218 00028230 IsMenu
       2050  219 0002DFD0 IsMouseInPointerEnabled
       2051  21A 00019AE0 IsProcessDPIAware
       2052  21B 000970B0 IsQueueAttached
       2053  21C 00019830 IsRectEmpty
       2054  21D 0008CBC0 IsSETEnabled
       2055  21E 0001A060 IsServerSideWindow
       2056  21F 0000CDA0 IsThreadDesktopComposited
       2528  220 00024350 IsThreadMessageQueueAttached
       2057  221 0002E000 IsTopLevelWindow
       2058  222 0002E010 IsTouchWindow
       2059  223 000970E0 IsValidDpiAwarenessContext
       2060  224 00019610 IsWinEventHookInstalled
       2061  225 00011CB0 IsWindow
       2062  226 00097100 IsWindowArranged
       2063  227 00018650 IsWindowEnabled
       2064  228 0000BDA0 IsWindowInDestroy
       2065  229 0002BBD0 IsWindowRedirectedForPrint
       2066  22A 0001FF40 IsWindowUnicode
       2067  22B 00029D90 IsWindowVisible
       2068  22C 00056070 IsWow64Message
       2069  22D 0002BAF0 IsZoomed
       2070  22E 0002E030 KillTimer
       2071  22F 00023E80 LoadAcceleratorsA
       2072  230 00023ED0 LoadAcceleratorsW
       2073  231 00028830 LoadBitmapA
       2074  232 00028620 LoadBitmapW
       2075  233 0002B420 LoadCursorA
       2076  234 0004B130 LoadCursorFromFileA
       2077  235 0004B190 LoadCursorFromFileW
       2078  236 00013EC0 LoadCursorW
       2079  237 00028780 LoadIconA
       2080  238 00012990 LoadIconW
       2081  239 00028180 LoadImageA
       2082  23A 0002AA10 LoadImageW
       2083  23B 00097140 LoadKeyboardLayoutA
       2084  23C 000971B0 LoadKeyboardLayoutEx
       2085  23D 000971E0 LoadKeyboardLayoutW
       2086  23E 00097360 LoadLocalFonts
       2087  23F 00055C20 LoadMenuA
       2088  240 00023500 LoadMenuIndirectA
       2089  241 00023500 LoadMenuIndirectW
       2090  242 0002BCD0 LoadMenuW
       2091  243 00097420 LoadRemoteFonts
       2092  244 000241F0 LoadStringA
       2093  245 0001A330 LoadStringW
       2094  246 00097440 LockSetForegroundWindow
       2095  247 0002E050 LockWindowStation
       2096  248 0002E060 LockWindowUpdate
       2097  249 0002E070 LockWorkStation
       2098  24A 0002E080 LogicalToPhysicalPoint
       2099  24B 0002E090 LogicalToPhysicalPointForPerMonitorDPI
